id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21084832,Warm and cozy condo 8th floor-pool & gym.,135904085,Paengy,,Vadhana,13.73264,100.58509,Entire home/apt,1200,15,4,2018-05-24,0.07,1,84,0,
20976893,หมู่บ้านกลางเมือง 1,46897353,Jintana,,Wang Thong Lang,13.77369,100.59781,Entire home/apt,5000,1,0,,,1,364,0,
21085801,"RIMKAN HOUSE 2:Next to BTS,Private Shower",63563394,Pong,,Sathon,13.71878,100.52019,Private room,730,1,94,2020-02-15,1.68,3,0,0,
20985092,A perfect stay for big family!,146084647,Sal,,Khlong Toei,13.70633,100.59776,Entire home/apt,5500,1,50,2022-08-01,1.21,1,74,11,
21098426,Bangkok High Class Riverside Condo Near Skytrain,57827253,Tula,,Bang Sue,13.80525,100.52832,Entire home/apt,1688,4,25,2022-09-09,0.44,1,162,13,
20989034,Elements Condo Srinakarin,52227896,Rukchai,,Pra Wet,13.69436,100.64475,Private room,3000,30,0,,,1,173,0,
21099384,"356 D CondoSathu49, Bangkok
(Rama3-Sathorn-Nonsri)",65989259,Kulthada,,Yan na wa,13.68202,100.5394,Entire home/apt,600,90,1,2019-02-20,0.02,1,177,0,
21111748,Apartment and condo for rent Sukhumvit 64 road,71762015,Asanai,,Phra Khanong,13.69014,100.60371,Entire home/apt,876,7,10,2022-06-22,0.17,2,105,4,
20989389,Thai Lanna Style House in Bangkok+Wifi+Breakfast,151067409,Thida,,Lat Phrao,13.81087,100.61051,Entire home/apt,5900,1,0,,,1,179,0,
21113648,5Min.To BTS station SUKHUMVITLine in downtown+wifi,112197816,Cherya & Sammy,,Phra Khanong,13.6931,100.60688,Private room,599,14,3,2018-01-17,0.05,2,267,0,
